meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
1747;34.0000;8.2539;-25.7461;-75.7238;-2.0424;2.3035;54.579;-1397.644043;1142.896362;-807.757385;-0.087973;0.525165;0.043244;0.845336;25.7306;-8.2694;-24.3219;-0.4021;18.4879;-15.5121;-45.6239;-0.8790
1784;13.0000;5.7256;-7.2744;-55.9567;-1.1830;2.2326;56.885;-1284.000854;1189.152466;-811.134399;-0.099680;0.548236;0.059557;0.828224;17.8447;4.8447;37.2669;0.4570;13.1914;0.1914;1.4725;0.0211
1869;14.0000;3.4509;-10.5491;-75.3504;-2.0204;2.1389;61.447;-1108.677734;1756.515869;-835.230652;-0.062050;0.517709;0.031508;0.852722;70.2044;56.2044;401.4599;2.3261;16.6354;2.6354;18.8246;0.2488
1943;18.0000;6.0868;-11.9132;-66.1843;-1.5642;2.0957;58.714;-1182.988525;2091.058594;-664.187927;0.061519;0.532321;-0.095482;0.838888;18.2082;0.2082;1.1567;0.0166;19.5718;1.5718;8.7320;0.1208
1985;22.0000;11.8443;-10.1557;-46.1623;-0.8933;2.0283;54.909;-1258.451904;2145.900391;-499.670258;0.101817;0.575021;-0.139205;0.799754;13.2231;-8.7769;-39.8949;-0.7344;25.4124;3.4124;15.5109;0.2080
2020;77.0000;280.9380;203.9380;264.8546;1.8673;1.9349;49.430;-1345.313477;2146.362305;-287.151855;0.103772;0.607830;-0.170411;0.768592;613.1835;536.1835;696.3422;2.9934;273.4485;196.4485;255.1280;1.8283
2056;637.0000;1098.6039;461.6039;72.4653;0.7863;1.8653;42.591;-1453.768188;2141.407715;-49.103325;0.103290;0.662309;-0.183458;0.719042;910.3561;273.3561;42.9131;0.5151;945.4583;308.4583;48.4236;0.5697
2090;1097.0000;1560.8383;463.8383;42.2824;0.5088;1.8016;37.516;-1504.564087;2155.596436;161.808105;0.099573;0.666650;-0.182670;0.715747;946.3585;-150.6415;-13.7321;-0.2131;1224.8560;127.8560;11.6551;0.1590
2096;1097.0000;1617.5743;520.5743;47.4544;0.5603;1.7982;36.389;-1522.041016;2154.563477;200.348938;0.095913;0.667351;-0.190456;0.713561;1307.7314;210.7314;19.2098;0.2535;1255.9454;158.9454;14.4891;0.1952
2100;1097.0000;1659.8779;562.8779;51.3107;0.5975;1.7981;35.530;-1537.011108;2152.996094;227.989685;0.093302;0.668782;-0.194916;0.711360;1517.9921;420.9921;38.3767;0.4686;1286.7494;189.7494;17.2971;0.2302
2123;1397.0000;1825.9207;428.9207;30.7030;0.3863;1.8020;30.961;-1614.808350;2163.078857;402.511566;0.085214;0.691101;-0.204853;0.687862;1948.1281;551.1281;39.4508;0.4798;1464.2546;67.2546;4.8142;0.0678
2134;1397.0000;1882.5608;485.5608;34.7574;0.4304;1.7956;29.465;-1631.202393;2166.918945;473.732666;0.089014;0.701444;-0.203683;0.677175;1507.9965;110.9965;7.9453;0.1103;1474.1565;77.1565;5.5230;0.0776
2157;1597.0000;2013.5669;416.5669;26.0843;0.3344;1.7473;27.258;-1617.421265;2167.719482;614.378784;0.082935;0.708741;-0.192290;0.673671;1773.2643;176.2643;11.0372;0.1510;1551.3510;-45.6490;-2.8584;-0.0418
2169;1597.0000;1987.6677;390.6677;24.4626;0.3157;1.7192;26.692;-1598.510254;2178.922363;688.937256;0.070949;0.700639;-0.197240;0.682031;1356.9913;-240.0087;-15.0287;-0.2350;1532.7068;-64.2932;-4.0259;-0.0593
2192;1497.0000;1908.1001;411.1001;27.4616;0.3501;1.6834;25.262;-1580.811646;2186.498779;856.429260;0.066899;0.711483;-0.182668;0.675240;1436.3767;-60.6233;-4.0497;-0.0596;1473.5112;-23.4888;-1.5691;-0.0228
2224;1397.0000;1599.3721;202.3721;14.4862;0.1952;1.7184;23.996;-1620.789185;2182.901367;1134.530273;0.059424;0.732648;-0.197088;0.648731;1262.5989;-134.4011;-9.6207;-0.1459;1243.1716;-153.8284;-11.0113;-0.1683
2250;1097.0000;1283.3754;186.3754;16.9895;0.2264;1.7371;25.550;-1612.715942;2180.417969;1333.361450;0.055279;0.759164;-0.168759;0.626206;850.4963;-246.5037;-22.4707;-0.3672;992.6607;-104.3393;-9.5113;-0.1442
2283;697.0000;780.5823;83.5823;11.9917;0.1634;1.7519;29.563;-1564.121460;2192.502686;1546.781372;0.057490;0.772950;-0.177182;0.606506;691.3951;-5.6049;-0.8041;-0.0116;637.0303;-59.9697;-8.6040;-0.1298
2323;297.0000;312.9354;15.9354;5.3655;0.0754;1.8672;34.331;-1574.183228;2182.511230;1835.202148;0.049728;0.807203;-0.192650;0.555730;318.5670;21.5670;7.2616;0.1011;264.6012;-32.3988;-10.9087;-0.1666
2360;83.0000;73.0944;-9.9056;-11.9345;-0.1834;1.9359;39.249;-1525.160889;2173.827148;2057.680176;0.053478;0.822084;-0.171777;0.540195;149.6129;66.6129;80.2566;0.8501;72.5383;-10.4617;-12.6044;-0.1944
2403;12.0000;8.7641;-3.2359;-26.9655;-0.4534;2.0246;44.405;-1466.298584;2172.913818;2281.932861;0.038816;0.831269;-0.185727;0.522485;13.0565;1.0565;8.8038;0.1217;13.1049;1.1049;9.2071;0.1271
2448;8.0000;4.2679;-3.7321;-46.6510;-0.9065;1.9742;51.256;-1248.946411;2119.671875;2443.287842;0.065523;0.849820;-0.178391;0.491619;23.5574;15.5574;194.4677;1.5581;8.8935;0.8935;11.1691;0.1528
2544;11.0000;2.2325;-8.7675;-79.7043;-2.3008;1.3221;55.649;-770.034851;2075.972412;1959.791870;0.093017;0.866997;-0.222717;0.435960;12.5120;1.5120;13.7452;0.1858;14.6484;3.6484;33.1677;0.4132
2595;27.0000;18.1512;-8.8488;-32.7734;-0.5729;1.1041;46.096;-798.317932;2057.612061;1607.295410;0.098830;0.855985;-0.215124;0.459614;22.0309;-4.9691;-18.4042;-0.2934;29.5912;2.5912;9.5969;0.1322
2637;107.0000;219.8696;112.8696;105.4856;1.0390;0.9567;39.848;-770.859131;2006.833252;1394.645630;0.115608;0.843565;-0.199387;0.485054;332.0347;225.0347;210.3128;1.6337;244.3354;137.3354;128.3508;1.1913
2677;1397.0000;2169.8301;772.8301;55.3207;0.6353;0.9722;29.986;-884.364319;1987.162109;1149.212280;0.140897;0.802983;-0.186676;0.548195;3418.6365;2021.6365;144.7127;1.2911;1873.9869;476.9869;34.1437;0.4238
