meter_frame,measured_lux,calculated_lux,delta_lux,error_pct,error_stops,dist_to_fix_m,gamma_fix_deg,meter_tx,meter_ty,meter_tz,meter_qx,meter_qy,meter_qz,meter_qw
3486,2.0000,0.0000,-2.0000,-100.0000,-10.9658,5.1373,110.125,-4695.130371,1767.570679,1105.930664,0.038688,-0.903681,-0.058787,0.422384
3503,1.9000,0.0000,-1.9000,-100.0000,-10.8918,5.1564,109.490,-4770.634766,1720.407959,932.710815,0.061116,-0.918075,-0.032254,0.390337
3519,1.8000,0.0000,-1.8000,-100.0000,-10.8138,5.1788,109.155,-4832.458008,1699.296875,761.720154,0.050987,-0.935912,-0.005586,0.348480
3742,1.9000,0.0000,-1.9000,-100.0000,-10.8918,3.7958,113.233,-3486.094238,1497.323853,116.007362,-0.076183,-0.889258,0.136965,-0.429718
3776,2.0000,0.0000,-2.0000,-100.0000,-10.9658,3.5662,115.282,-3219.889648,1523.052856,174.107574,-0.080777,-0.837141,0.103965,-0.530905
3793,2.2000,0.0000,-2.2000,-100.0000,-11.1033,3.4662,116.062,-3105.941162,1522.867310,221.047012,-0.087156,-0.810468,0.096574,-0.571156
3844,2.3000,0.0000,-2.3000,-100.0000,-11.1674,3.1527,119.442,-2714.092041,1549.674194,414.270142,-0.062573,-0.763226,0.086505,-0.637250
3878,2.5000,0.0000,-2.5000,-100.0000,-11.2877,2.9226,122.422,-2430.867188,1566.946289,420.817932,-0.057530,-0.733937,0.053135,-0.674688
3914,2.7000,0.0000,-2.7000,-100.0000,-11.3987,2.7257,125.186,-2179.009766,1570.602051,462.956116,-0.067362,-0.704564,0.042163,-0.705177
3948,2.9000,0.0000,-2.9000,-100.0000,-11.5018,2.5815,128.227,-1946.200195,1597.390015,569.889465,-0.034093,-0.712815,0.052430,-0.698558
4017,3.0000,0.0000,-3.0000,-100.0000,-11.5507,2.2908,134.982,-1510.994751,1619.352417,585.185425,-0.037068,-0.690329,0.028471,-0.721984
4050,3.3000,0.0000,-3.3000,-100.0000,-11.6883,2.2089,138.245,-1306.336914,1647.811646,676.278015,0.001393,-0.702458,-0.003569,-0.711715
4101,3.5000,0.0000,-3.5000,-100.0000,-11.7731,2.1708,141.613,-1075.236206,1701.592285,813.025146,0.051585,-0.683015,-0.040455,-0.727456
4118,3.3000,0.0000,-3.3000,-100.0000,-11.6883,2.1408,144.083,-968.500610,1733.771606,799.431396,0.090555,-0.662787,-0.065007,-0.740464
4135,3.0000,0.0000,-3.0000,-100.0000,-11.5507,2.1064,146.612,-859.575562,1758.733887,777.639771,0.099624,-0.646832,-0.087139,-0.751060
4169,3.3000,0.0000,-3.3000,-100.0000,-11.6883,2.0071,151.999,-599.735657,1772.159546,726.798340,0.109816,-0.663736,-0.129978,-0.728355
4186,3.5000,0.0000,-3.5000,-100.0000,-11.7731,1.9592,155.531,-458.129578,1783.247925,669.835693,0.136141,-0.714081,-0.164824,-0.666624
4203,3.3000,0.0000,-3.3000,-100.0000,-11.6883,1.8967,158.055,-367.962036,1759.295776,605.840515,0.141797,-0.762937,-0.146222,-0.613547
4239,3.0000,0.0000,-3.0000,-100.0000,-11.5507,1.8123,163.620,-237.474258,1738.746338,452.565094,0.117047,-0.827317,-0.145437,-0.529806
4256,3.3000,0.0000,-3.3000,-100.0000,-11.6883,1.7799,168.576,-145.870682,1744.677979,320.965302,0.101089,-0.836447,-0.162015,-0.513701
