Format Version,1.23,Take Name,Illuminance Optitrack_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 03.20.26.743,Capture Start Frame,1623671,Total Frames in Take,16332,Total Exported Frames,16332,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
119,0.992000,0.096714,0.755033,-0.554800,0.335811,-3935.411814,1351.804262,-2922.225876
120,1.000000,0.096502,0.756304,-0.556133,0.330769,-3936.694797,1350.887879,-2922.887493
121,1.008000,0.095600,0.757916,-0.557001,0.325843,-3938.060230,1350.052052,-2923.618949
122,1.017000,0.094691,0.759011,-0.558530,0.320904,-3939.414621,1349.026119,-2924.349696
123,1.025000,0.093363,0.760276,-0.560153,0.315425,-3941.013609,1348.062179,-2925.064275
124,1.033000,0.091591,0.761450,-0.561786,0.310165,-3942.690021,1347.039079,-2925.759105
125,1.042000,0.090026,0.762623,-0.563637,0.304325,-3944.477310,1346.013764,-2926.456609
126,1.050000,0.088419,0.764355,-0.565395,0.297105,-3946.678956,1345.089124,-2927.123491
127,1.058000,0.086663,0.766076,-0.567074,0.289904,-3948.967229,1344.123483,-2927.772229
128,1.067000,0.085315,0.767731,-0.568892,0.282264,-3951.349285,1343.110983,-2928.492425
129,1.075000,0.084285,0.769676,-0.571139,0.272571,-3954.239472,1342.240705,-2929.238187
130,1.083000,,,,,,,
131,1.092000,,,,,,,
132,1.100000,,,,,,,
133,1.108000,,,,,,,
134,1.117000,0.083092,0.776572,-0.583194,0.223421,-3968.688937,1338.611352,-2933.214832
135,1.125000,0.083257,0.777092,-0.586008,0.213987,-3971.536589,1338.015610,-2933.696515
136,1.133000,0.078030,0.778276,-0.588293,0.205203,-3975.510880,1336.827686,-2933.615169
137,1.142000,,,,,,,
138,1.150000,,,,,,,
139,1.158000,0.080470,0.776951,-0.602073,0.165466,-3990.028714,1335.547322,-2931.823908
140,1.167000,0.069372,0.778058,-0.603642,0.159465,-3993.799898,1334.058487,-2930.977051
141,1.175000,,,,,,,
142,1.183000,0.053944,0.782777,-0.600922,0.152456,-4000.485996,1330.790332,-2929.686713
143,1.192000,0.045874,0.784131,-0.601877,0.144149,-4004.685431,1330.144001,-2928.876215
144,1.200000,0.039366,0.785410,-0.602641,0.135669,-4009.001823,1329.601126,-2927.762170
145,1.208000,0.035518,0.786291,-0.603642,0.126891,-4013.345928,1329.098030,-2926.441037
146,1.217000,0.032358,0.786823,-0.604958,0.117848,-4017.747863,1328.585067,-2924.895799
147,1.225000,0.032613,0.787214,-0.606383,0.107379,-4022.107402,1328.654657,-2923.208418
148,1.233000,,,,,,,
149,1.242000,,,,,,,
150,1.250000,,,,,,,
151,1.258000,,,,,,,
152,1.267000,,,,,,,
153,1.275000,,,,,,,
154,1.283000,0.021664,0.784871,-0.617921,0.041001,-4056.809488,1325.799017,-2905.109233
155,1.292000,0.018478,0.784789,-0.618681,0.031595,-4061.818638,1325.602940,-2902.119814
156,1.300000,0.017454,0.784135,-0.620034,0.019640,-4067.039863,1325.778288,-2899.049826
157,1.308000,0.016304,0.783143,-0.621589,0.006983,-4072.595131,1325.923651,-2895.640818
158,1.317000,0.015046,0.782692,-0.622203,-0.005480,-4078.220153,1326.197967,-2892.035592
159,1.325000,0.013779,0.782342,-0.622487,-0.016163,-4083.506425,1326.361462,-2888.548622
160,1.333000,0.011606,0.781500,-0.623208,-0.027109,-4089.028757,1326.231561,-2884.693961
161,1.342000,0.011411,0.780513,-0.623814,-0.039067,-4094.374027,1326.744122,-2880.863735
162,1.350000,0.009126,0.779957,-0.623621,-0.051782,-4100.244671,1327.292051,-2876.336084
163,1.358000,0.007244,0.778272,-0.624649,-0.063668,-4105.808432,1327.406483,-2871.854093
164,1.367000,0.005314,0.776851,-0.625162,-0.075147,-4111.230705,1327.630890,-2867.368765
165,1.375000,0.001382,0.774765,-0.626259,-0.086815,-4116.993518,1327.461795,-2862.564211
