meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_kern_10deg;delta_lux_kern_10deg;error_pct_kern_10deg;error_stops_kern_10deg;calculated_lux_kern_5deg;delta_lux_kern_5deg;error_pct_kern_5deg;error_stops_kern_5deg;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
1362;3997.0000;3530.0042;-466.9958;-11.6837;-0.1792;0.7067;31.395;-622.434814;1551.927856;1382.618042;0.129940;-0.826435;0.005372;-0.547806;3551.8699;-445.1301;-11.1366;-0.1703;3001.4607;-995.5393;-24.9072;-0.4133;2439.0027;-1557.9973;-38.9792;-0.7126;2729.3137;-1267.6863;-31.7159;-0.5504
1379;6997.0000;8575.7012;1578.7012;22.5625;0.2935;0.6666;22.632;-638.141968;1568.699951;1268.690796;0.081048;-0.816963;0.022891;-0.570508;6486.1196;-510.8804;-7.3014;-0.1094;5275.9077;-1721.0923;-24.5976;-0.4073;5712.2925;-1284.7075;-18.3608;-0.2927;6156.5469;-840.4531;-12.0116;-0.1846
1391;6997.0000;10472.7021;3475.7021;49.6742;0.5818;0.6679;15.162;-669.909424;1570.316284;1185.290527;0.067256;-0.803674;0.016182;-0.591035;6995.0767;-1.9233;-0.0275;-0.0004;6580.8560;-416.1440;-5.9475;-0.0885;7200.2681;203.2681;2.9051;0.0413;7420.6191;423.6191;6.0543;0.0848
1406;6997.0000;9654.7275;2657.7275;37.9838;0.4645;0.6963;6.188;-720.751587;1575.492920;1071.748535;0.084138;-0.761938;0.027730;-0.641563;6995.7031;-1.2969;-0.0185;-0.0003;6806.2236;-190.7764;-2.7265;-0.0399;7088.2656;91.2656;1.3044;0.0187;7050.1738;53.1738;0.7600;0.0109
1461;5997.0000;2456.5249;-3540.4751;-59.0374;-1.2876;0.8352;30.899;-757.689514;1568.678223;592.242920;0.074437;-0.674938;0.046023;-0.732666;5850.3252;-146.6748;-2.4458;-0.0357;2637.5183;-3359.4817;-56.0194;-1.1851;2318.9524;-3678.0476;-61.3315;-1.3708;2188.3232;-3808.6768;-63.5097;-1.4544
1478;1297.0000;486.9124;-810.0876;-62.4586;-1.4134;0.9152;37.620;-769.194214;1564.619751;461.900085;0.059069;-0.642613;0.038152;-0.762957;1217.9305;-79.0695;-6.0963;-0.0907;1453.0513;156.0513;12.0317;0.1639;803.5015;-493.4985;-38.0492;-0.6908;496.2954;-800.7046;-61.7351;-1.3859
1481;197.0000;334.2336;137.2336;69.6617;0.7627;0.9302;38.664;-771.172058;1563.214722;439.274567;0.055451;-0.636178;0.039417;-0.768537;317.5228;120.5228;61.1791;0.6887;1298.0353;1101.0353;558.9012;2.7201;659.7219;462.7219;234.8842;1.7437;369.8427;172.8427;87.7374;0.9087
1500;32.0000;19.9246;-12.0754;-37.7356;-0.6835;1.0278;44.501;-781.711304;1566.134888;300.172455;0.085186;-0.601783;0.023999;-0.793741;55.3815;23.3815;73.0672;0.7913;607.2020;575.2020;1797.5061;4.2460;164.2067;132.2067;413.1458;2.3594;39.5417;7.5417;23.5677;0.3053
1516;20.0000;8.8444;-11.1556;-55.7779;-1.1772;1.0909;49.914;-753.525330;1548.383057;184.121582;0.079585;-0.562997;0.022886;-0.822300;20.7459;0.7459;3.7297;0.0528;284.3457;264.3457;1321.7284;3.8296;38.0767;18.0767;90.3836;0.9289;21.1574;1.1574;5.7869;0.0812
1534;13.0000;1.7358;-11.2642;-86.6480;-2.9049;1.1566;55.259;-712.645203;1534.305420;66.917961;0.104822;-0.541960;0.021143;-0.833573;12.9983;-0.0017;-0.0128;-0.0002;116.6782;103.6782;797.5249;3.1660;15.8758;2.8758;22.1212;0.2883;14.5794;1.5794;12.1494;0.1654
1551;11.0000;0.0695;-10.9305;-99.3685;-7.3071;1.2130;57.764;-701.703979;1511.740601;-9.021722;0.151609;-0.480064;0.008533;-0.863991;11.0239;0.0239;0.2174;0.0031;78.3914;67.3914;612.6487;2.8332;15.5640;4.5640;41.4913;0.5007;11.7090;0.7090;6.4452;0.0901
1602;12.0000;0.0064;-11.9936;-99.9463;-10.8617;1.2095;58.766;-673.273499;1303.729248;6.189096;0.159787;-0.468491;-0.035893;-0.868157;12.0635;0.0635;0.5288;0.0076;101.6186;89.6186;746.8219;3.0821;45.1976;33.1976;276.6470;1.9132;11.3005;-0.6995;-5.8290;-0.0866
1619;13.0000;0.0177;-12.9823;-99.8639;-9.5210;1.1382;58.545;-636.135498;1257.143799;82.676140;0.167621;-0.504609;-0.039664;-0.845990;12.9372;-0.0628;-0.4827;-0.0070;124.4822;111.4822;857.5551;3.2594;60.2432;47.2432;363.4092;2.2123;12.5604;-0.4396;-3.3817;-0.0496
1636;16.0000;0.3557;-15.6443;-97.7766;-5.4911;1.0959;57.265;-632.089111;1228.098999;143.214325;0.186290;-0.515922;-0.043362;-0.835009;15.9907;-0.0093;-0.0582;-0.0008;158.6835;142.6835;891.7720;3.3100;75.4736;59.4736;371.7101;2.2379;14.8055;-1.1945;-7.4655;-0.1119
1652;23.0000;3.7951;-19.2049;-83.4997;-2.5994;1.0721;54.267;-662.904724;1202.791382;208.011490;0.194008;-0.509448;-0.046991;-0.837028;23.0001;0.0001;0.0006;0.0000;234.5770;211.5770;919.9001;3.3504;98.6280;75.6280;328.8176;2.1004;19.5292;-3.4708;-15.0904;-0.2360
1669;29.0000;11.0105;-17.9895;-62.0328;-1.3972;1.0392;49.297;-711.939514;1198.412354;299.975586;0.203419;-0.531365;-0.055702;-0.820469;28.6363;-0.3637;-1.2540;-0.0182;413.7741;384.7741;1326.8073;3.8347;146.6714;117.6714;405.7635;2.3385;24.7526;-4.2474;-14.6462;-0.2285
1698;67.0000;67.5959;0.5959;0.8895;0.0128;0.9546;42.140;-736.789978;1182.661011;475.484192;0.222512;-0.564731;-0.067438;-0.791845;64.0559;-2.9441;-4.3941;-0.0648;961.6580;894.6580;1335.3103;3.8433;440.0675;373.0675;556.8171;2.7155;102.3589;35.3589;52.7744;0.6114
1704;297.0000;150.7747;-146.2253;-49.2341;-0.9781;0.9457;40.636;-745.534485;1177.436890;508.246490;0.229743;-0.574777;-0.072573;-0.782037;344.1154;47.1154;15.8638;0.2124;1104.1840;807.1840;271.7791;1.8944;543.4321;246.4321;82.9738;0.8716;191.7950;-105.2050;-35.4226;-0.6309
1781;3197.0000;4374.8057;1177.8057;36.8410;0.4525;0.8550;25.728;-786.682922;1163.262817;919.077637;0.270778;-0.702756;-0.117206;-0.647361;3215.8438;18.8438;0.5894;0.0085;3199.3772;2.3772;0.0744;0.0011;3228.3262;31.3262;0.9799;0.0141;3134.0188;-62.9812;-1.9700;-0.0287
1789;3397.0000;4683.8135;1286.8135;37.8809;0.4634;0.8441;25.232;-778.905212;1165.370728;963.432922;0.276144;-0.701488;-0.124658;-0.645073;3395.4482;-1.5518;-0.0457;-0.0007;3377.9795;-19.0205;-0.5599;-0.0081;3473.8608;76.8608;2.2626;0.0323;3330.1143;-66.8857;-1.9690;-0.0287
1825;2997.0000;4201.0698;1204.0698;40.1758;0.4872;0.8312;27.144;-749.832947;1176.739502;1176.150391;0.285610;-0.736752;-0.131927;-0.598513;3020.9783;23.9783;0.8001;0.0115;3082.8960;85.8960;2.8661;0.0408;2904.4180;-92.5820;-3.0892;-0.0453;3062.6909;65.6909;2.1919;0.0313
1842;1697.0000;2812.7693;1115.7693;65.7495;0.7290;0.8135;31.232;-703.518066;1182.086182;1265.201416;0.293171;-0.771750;-0.136475;-0.547564;1654.7683;-42.2317;-2.4886;-0.0364;2527.0964;830.0964;48.9155;0.5745;1783.3300;86.3300;5.0872;0.0716;2119.4758;422.4758;24.8955;0.3207
1859;697.0000;1228.7866;531.7866;76.2965;0.8180;0.8100;35.675;-664.269714;1209.362793;1368.012939;0.315946;-0.766822;-0.154507;-0.536926;727.0372;30.0372;4.3095;0.0609;1880.6980;1183.6980;169.8275;1.4320;1087.0149;390.0149;55.9562;0.6411;897.2539;200.2539;28.7308;0.3644
1876;127.0000;288.8095;161.8095;127.4091;1.1853;0.8462;39.804;-654.118591;1216.804321;1461.568604;0.361718;-0.753819;-0.136470;-0.531312;259.8481;132.8481;104.6048;1.0328;1297.4747;1170.4747;921.6336;3.3528;675.1511;548.1511;431.6150;2.4104;281.0345;154.0345;121.2870;1.1459
1893;47.0000;62.9847;15.9847;34.0101;0.4223;0.8966;42.881;-658.065674;1181.762573;1520.739380;0.416666;-0.736671;-0.124993;-0.517767;55.5337;8.5337;18.1569;0.2407;951.9635;904.9635;1925.4541;4.3402;471.6976;424.6976;903.6119;3.3271;73.6319;26.6319;56.6637;0.6477
1909;37.0000;28.2112;-8.7888;-23.7535;-0.3913;0.9229;44.962;-652.026550;1146.101440;1546.882812;0.436506;-0.717579;-0.123312;-0.528523;37.1801;0.1801;0.4866;0.0070;788.8084;751.8084;2031.9147;4.4141;384.2061;347.2061;938.3950;3.3763;39.1315;2.1315;5.7609;0.0808
